epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7875389456748962,0.6283336877822876
0,234,0.9168725609779358,0.26885467767715454,,
1,469,,,0.790654182434082,0.6246880292892456
1,469,0.9429792165756226,0.20883768796920776,,
2,704,,,0.7900311350822449,0.6416487097740173
2,704,0.9645456075668335,0.15768495202064514,,
3,939,,,0.7866043448448181,0.6618328094482422
3,939,0.9774988293647766,0.11837023496627808,,
4,1174,,,0.7925233840942383,0.6832090020179749
4,1174,0.9875141978263855,0.08794604986906052,,
5,1409,,,0.7925233840942383,0.6916646361351013
5,1409,0.991320013999939,0.06851702183485031,,
6,1644,,,0.7847352027893066,0.737326979637146
6,1644,0.995059072971344,0.052897095680236816,,
7,1879,,,0.7728971838951111,0.790917158126831
7,1879,0.9975295662879944,0.040108632296323776,,
8,2114,,,0.7838006019592285,0.7830028533935547
8,2114,0.9985311031341553,0.031048109754920006,,
9,2349,,,0.7872273921966553,0.8080222010612488
9,2349,0.998798131942749,0.024365657940506935,,
10,2584,,,0.7791277170181274,0.8581899404525757
10,2584,0.998798131942749,0.020469030365347862,,
11,2819,,,0.7897196412086487,0.8254968523979187
11,2819,0.9989984631538391,0.017826512455940247,,
12,3054,,,0.7813084125518799,0.8438752889633179
12,3054,0.9991987943649292,0.015439449809491634,,
13,3289,,,0.7694703936576843,0.9096477627754211
13,3289,0.9997329115867615,0.01097245141863823,,
14,3524,,,0.7856698036193848,0.8535978198051453
14,3524,0.9998664855957031,0.009817036800086498,,
