epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7716510891914368,0.6538774371147156
0,234,0.7757895588874817,0.6194496750831604,,
1,469,,,0.7638629078865051,0.6716246008872986
1,469,0.7910128831863403,0.5793367624282837,,
2,704,,,0.790965735912323,0.5994629263877869
2,704,0.8017627000808716,0.5569202303886414,,
3,939,,,0.7841121554374695,0.612887442111969
3,939,0.8073713183403015,0.5364463925361633,,
4,1174,,,0.8121495246887207,0.5564835667610168
4,1174,0.8125792741775513,0.5224526524543762,,
5,1409,,,0.8112149238586426,0.553030788898468
5,1409,0.8185217380523682,0.5108553767204285,,
6,1644,,,0.8003115057945251,0.5638121962547302
6,1644,0.8199238777160645,0.4996132552623749,,
7,1879,,,0.804984450340271,0.5555643439292908
7,1879,0.8213260173797607,0.5003905892372131,,
8,2114,,,0.8102803826332092,0.5442241430282593
8,2114,0.8286706209182739,0.47999414801597595,,
9,2349,,,0.813395619392395,0.5375728607177734
9,2349,0.8300727605819702,0.4773295223712921,,
10,2584,,,0.7806853652000427,0.6116161346435547
10,2584,0.8330773711204529,0.46600279211997986,,
11,2819,,,0.8199377059936523,0.5313798189163208
11,2819,0.8344127535820007,0.4638265073299408,,
12,3054,,,0.8115264773368835,0.5409913659095764
12,3054,0.8391533493995667,0.4575197696685791,,
13,3289,,,0.8283489346504211,0.5062964558601379
13,3289,0.8403552174568176,0.44797542691230774,,
14,3524,,,0.8218068480491638,0.5260580778121948
14,3524,0.8412899971008301,0.44339457154273987,,
