epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7274143099784851,0.7841598391532898
0,234,0.6706283092498779,0.9096732139587402,,
1,469,,,0.7233644723892212,0.7704650163650513
1,469,0.7142285108566284,0.7764692902565002,,
2,704,,,0.7358255386352539,0.73615562915802
2,704,0.7219069004058838,0.7471922636032104,,
3,939,,,0.6937694549560547,0.8197170495986938
3,939,0.7316551804542542,0.7299126982688904,,
4,1174,,,0.7190031409263611,0.7764399647712708
4,1174,0.7377979755401611,0.7205476760864258,,
