epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7470405101776123,0.6927776336669922
0,234,0.7741870880126953,0.6313312649726868,,
1,469,,,0.7794392704963684,0.6275630593299866
1,469,0.7888762950897217,0.5878492593765259,,
2,704,,,0.7919003367424011,0.6031029224395752
2,704,0.7974227070808411,0.5678499937057495,,
3,939,,,0.7919003367424011,0.598112165927887
3,939,0.8012953400611877,0.5447766780853271,,
4,1174,,,0.7813084125518799,0.6167537569999695
4,1174,0.8105762004852295,0.5288193821907043,,
5,1409,,,0.804984450340271,0.5581207871437073
5,1409,0.816451907157898,0.5117943286895752,,
6,1644,,,0.8155763149261475,0.5369437336921692
6,1644,0.8205248117446899,0.5029230117797852,,
7,1879,,,0.8006230592727661,0.5668187737464905
7,1879,0.8191894292831421,0.5032932758331299,,
8,2114,,,0.8168224096298218,0.5315735340118408
8,2114,0.8213927745819092,0.49064522981643677,,
9,2349,,,0.8149532675743103,0.5408506393432617
9,2349,0.8286038637161255,0.48458871245384216,,
10,2584,,,0.8258566856384277,0.5132791996002197
10,2584,0.829204797744751,0.4769666790962219,,
11,2819,,,0.8239875435829163,0.518014132976532
11,2819,0.8363490700721741,0.46178290247917175,,
12,3054,,,0.8202491998672485,0.525947630405426
12,3054,0.8354142904281616,0.46674981713294983,,
13,3289,,,0.818691611289978,0.5267559289932251
13,3289,0.836482584476471,0.4611845314502716,,
14,3524,,,0.8242990374565125,0.5134922862052917
14,3524,0.8347465991973877,0.45557260513305664,,
