epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7084112167358398,0.8245856165885925
0,234,0.6725646257400513,0.9009407162666321,,
1,469,,,0.695015549659729,0.8142210245132446
1,469,0.721973717212677,0.7502871751785278,,
2,704,,,0.7199376821517944,0.7691344022750854
2,704,0.7339253425598145,0.7219886183738708,,
3,939,,,0.7348909378051758,0.7349510788917542
3,939,0.7367296814918518,0.7083582878112793,,
4,1174,,,0.7311526536941528,0.7337192296981812
4,1174,0.7446751594543457,0.6901674866676331,,
5,1409,,,0.7330217957496643,0.7262952327728271
5,1409,0.7432730197906494,0.6938474178314209,,
6,1644,,,0.7115264534950256,0.7772924304008484
6,1644,0.7486813068389893,0.6805999279022217,,
