epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7261682152748108,0.7928550243377686
0,234,0.6744341254234314,0.9097221493721008,,
1,469,,,0.7202492356300354,0.7762921452522278
1,469,0.7229084372520447,0.7569703459739685,,
2,704,,,0.7380062341690063,0.737711489200592
2,704,0.733858585357666,0.7271012663841248,,
3,939,,,0.6915887594223022,0.8296757936477661
3,939,0.7412031888961792,0.7108340859413147,,
4,1174,,,0.7124610543251038,0.7805612087249756
4,1174,0.7396007180213928,0.7038620710372925,,
